Trial,Parameter,0,1,2,3,4,5,6,7,8,9,10,,,,,95%,358.2892783,99.5%,58.23595915
1,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,3645.583308,4692.545411,3942.885264,3973.924269,4068.353831,4911.240193,5026.137223,5219.47213,4472.959779,3141.350522,,,,,,358.3540823,,59.90218342
2,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6185.795514,5129.198114,3454.646324,3315.69582,3896.998202,2320.506984,2508.489304,2728.619247,3478.460433,4235.087389,,,,,,360.9468265,,61.60796861
3,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5861.639275,6292.722079,5465.303441,6152.954561,5684.570497,7400.353953,6643.804558,7163.123897,6095.200971,7316.659266,,,,,,361.2205573,,62.5471519
4,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,3712.492121,2354.917625,4500.375156,3371.375678,3997.901668,2958.05246,4031.04527,4062.968819,4999.757595,4710.85306,,,,,,362.2595066,,66.28052384
5,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4352.147728,5658.48822,5182.040353,4061.68112,2982.6959,2541.364853,2715.661251,3394.637365,2867.682288,2087.114153,,,,,,364.8038555,,67.76479607
6,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5502.542881,4516.406009,5726.222904,8032.028817,9668.823565,10462.71571,11227.75742,9401.485399,11562.51296,14087.41061,,,,,,364.8519259,,69.84724992
7,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5459.351291,5899.140918,7070.92579,7379.120895,7786.396294,9288.828271,9639.086012,11098.28576,12330.79615,9591.094835,,,,,,365.4091324,,70.97081961
8,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5097.044438,5280.285147,2922.433957,3189.321059,2825.239782,2380.941761,1617.446014,1056.928935,905.1603011,1295.119506,,,,,,365.6198907,,72.04991519
9,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4987.368498,4234.632779,2811.93968,3713.299152,3083.511989,3095.930167,3416.207951,3863.014859,4320.159398,4469.174262,,,,,,366.7728812,,76.9492475
10,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5216.18649,5981.759758,6623.41118,6719.549154,7656.636899,7783.600433,7637.556616,6793.342969,4205.75827,3175.371569,,,,,,368.9093034,,79.11510138
11,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4554.687816,3684.597184,2468.484348,1463.746155,1313.417944,775.0535171,557.7520539,529.0521731,239.8779078,259.2455163,,,,,,369.3260841,,80.75659035
12,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5624.571305,5642.858586,6837.752969,7528.674411,7825.172224,8439.103631,9216.579962,9433.644439,10590.99534,8636.747366,,,,,,370.7688919,,81.81777579
13,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5231.58631,5932.257921,6622.414508,6963.411074,6497.997318,6760.076841,7252.047535,9811.083129,10329.2775,11010.45435,,,,,,370.9390211,,82.33575162
