Trial,Timestep,"ESG.Economies.GBP.RealSpotRate(Govt, 10, 1)"
1,0,-0.0197968096029223,
1,1,-0.0101942861043249,
1,2,-0.0125985497532189,
1,3,-0.00897395634707787,
1,4,-0.016735291608752,
1,5,-0.0161194553786252,
1,6,-0.0179711001055867,
1,7,-0.0160093693361499,
1,8,-0.0155618597845285,
1,9,-0.00368964755409151,
1,10,-0.00884716995016299,
2,0,-0.0197968096029223,
2,1,-0.0239575500373075,
2,2,-0.0176906569979041,
2,3,-0.0184793799354529,
2,4,-0.00869378582514635,
2,5,-0.00785074843792499,
2,6,-0.0049309778266986,
2,7,-0.00616986408803255,
2,8,-0.0060956492814126,
2,9,-0.0175755911339671,
2,10,-0.0122112010578599,
3,0,-0.0197968096029223,
3,1,-0.0156674376969397,
3,2,-0.0205866948239912,
3,3,-0.0346125718037685,
3,4,-0.0315482022608722,
3,5,-0.034346020108124,
3,6,-0.0287516771979723,
3,7,-0.0218400582848253,
3,8,-0.0180211100775708,
3,9,-0.0116155358258362,
3,10,-0.0149533436339461,
4,0,-0.0197968096029223,
4,1,-0.0185304936804862,
4,2,-0.0096788916943219,
4,3,0.00758769842671958,
4,4,0.00646869351945711,
4,5,0.0108759103150837,
4,6,0.00611400217886349,
4,7,-0.000245767073630554,
4,8,-0.00360653307856462,
4,9,-0.00969749674626041,
4,10,-0.00608802919563822,
5,0,-0.0197968096029223,
5,1,-0.0203607129243074,
5,2,-0.0175977697071155,
5,3,-0.0166507076592424,
5,4,-0.0106903132364632,
5,5,-0.00269092641461288,
5,6,0.00854439318581135,
5,7,0.00566124065387941,
5,8,0.0109553479624156,
5,9,0.0117105140809226,
5,10,0.017848401150323,
6,0,-0.0197968096029223,
6,1,-0.0138284502026502,
6,2,-0.0126919097261566,
6,3,-0.0108169045905416,
6,4,-0.0147509635776519,
6,5,-0.0212098016282536,
6,6,-0.0310921921075787,
6,7,-0.0275855301205454,
6,8,-0.0321656119179584,
6,9,-0.0325299624488331,
6,10,-0.0381183853542856,
7,0,-0.0197968096029223,
7,1,-0.0154822017398106,
7,2,-0.00508467328475737,
7,3,0.000796383226983943,
7,4,-0.00264965707401821,
7,5,-0.00647795284053321,
7,6,-0.0177394259150458,
7,7,-0.0133120328791472,
7,8,-0.00783985324906378,
7,9,-0.00680077131301937,
7,10,-0.011145978109497,
8,0,-0.0197968096029223,
8,1,-0.0187151561047891,
8,2,-0.0251093295813307,
8,3,-0.0280615386219709,
8,4,-0.0226940587923296,
8,5,-0.0174789288637656,
8,6,-0.00516567299448445,
8,7,-0.0088867252913627,
8,8,-0.0138312309987485,
8,9,-0.0144982187080799,
8,10,-0.00991486924301255,
9,0,-0.0197968096029223,
9,1,-0.0216948032092523,
9,2,-0.0183571645301697,
9,3,-0.0307955208102766,
9,4,-0.0222442675653102,
9,5,-0.0266448083183077,
9,6,-0.0211199344541928,
9,7,-0.020471290395045,
9,8,-0.0241968094466123,
9,9,-0.0354994531393128,
9,10,-0.0339370994557493,
10,0,-0.0197968096029223,
10,1,-0.0124836327692056,
10,2,-0.0119281322855006,
10,3,0.00361948149428737,
10,4,-0.00310846229461847,
10,5,0.00287783361596072,
10,6,-0.00173006728971048,
10,7,-0.00164279758257135,
10,8,0.00269947879406951,
10,9,0.014825354153126,
10,10,0.0134429787247441,
11,0,-0.0197968096029223,
11,1,-0.0151392348503783,
11,2,-0.0179798058748061,
11,3,-0.00685483576652546,
11,4,-0.0034075265451381,
11,5,-0.00910768440375964,
11,6,-4.31048825688674E-05,
11,7,-0.00266422670574717,
11,8,0.00755734641564176,
11,9,0.00894197467246971,
11,10,0.00523762195688304,
12,0,-0.0197968096029223,
12,1,-0.0190568777191198,
12,2,-0.0123078164036419,
12,3,-0.0205736966789883,
12,4,-0.021950855972206,
12,5,-0.0148714137668832,
12,6,-0.0227713395094898,
12,7,-0.0194680985134659,
12,8,-0.0289015766157267,
12,9,-0.0298752221439436,
12,10,-0.0260515104308091,
13,0,-0.0197968096029223,
13,1,-0.013741012539858,
13,2,-0.00811403260285204,
13,3,-0.0041223724074293,
13,4,-0.00842044112086893,
13,5,-0.00301364644411506,
13,6,-0.0104567750746896,
13,7,-0.00299037876697217,
13,8,-0.0191076526186545,
13,9,-0.0169422971920242,
13,10,-0.0176047002314238,
14,0,-0.0197968096029223,
14,1,-0.0204475637117075,
14,2,-0.0221318762917089,
14,3,-0.0232610213186925,
14,4,-0.0170063441920116,
14,5,-0.0208929716129095,
14,6,-0.0124872642752785,
14,7,-0.0191473368137229,
14,8,-0.00250281981955269,
14,9,-0.00433147896306851,
14,10,-0.00340559060729706,
15,0,-0.0197968096029223,
15,1,-0.0322681988974294,
15,2,-0.0165145094890379,
15,3,-0.0139466654377267,
15,4,-0.00858871428094932,
15,5,0.0108993338515408,
15,6,0.0152851647754693,
15,7,0.0167508763719866,
15,8,0.0229011279816893,
15,9,0.0245272890789774,
15,10,0.0250343644762314,
16,0,-0.0197968096029223,
16,1,-0.00169407176957104,
16,2,-0.0137793803472273,
16,3,-0.0135295295176548,
16,4,-0.0168394997640891,
16,5,-0.034368395265022,
16,6,-0.0375250510235103,
16,7,-0.0381915915349781,
16,8,-0.0434683042103492,
16,9,-0.0446329546490702,
16,10,-0.044861618797236,
17,0,-0.0197968096029223,
17,1,-0.0109571514365095,
17,2,-0.0071000762535246,
17,3,-0.00363756032514273,
17,4,-0.00144633919903991,
17,5,-0.00310576792950468,
17,6,0.00325930256464702,
17,7,0.0171214668044786,
17,8,0.00729970313318051,
17,9,0.00676519827563338,
17,10,-0.00357021088204468,
18,0,-0.0197968096029223,
18,1,-0.0232047121305388,
18,2,-0.0231304820616617,
18,3,-0.023736284977025,
18,4,-0.0238717718733015,
18,5,-0.0208024938160593,
18,6,-0.0259880624422222,
18,7,-0.0385420285336066,
18,8,-0.028653192758752,
18,9,-0.0277776677965744,
18,10,-0.0174423985962008,
19,0,-0.0197968096029223,
19,1,-0.00617892396479813,
19,2,-0.0125342674301575,
19,3,-0.0131346967064172,
19,4,-0.0151406399858957,
19,5,-0.011973916713319,
19,6,-0.0150058030108987,
19,7,-0.0174786994891241,
19,8,-0.0158111640589791,
19,9,-0.0202874003087257,
19,10,-0.0277507102465558,
20,0,-0.0197968096029223,
20,1,-0.0279010807136607,
20,2,-0.0177546036488615,
20,3,-0.0143411733901455,
20,4,-0.0102988759805152,
20,5,-0.0120135870043152,
20,6,-0.00792660489687225,
20,7,-0.00468362192221838,
20,8,-0.00584388397583258,
20,9,-0.000931896397761478,
20,10,0.00699447547173015,
21,0,-0.0197968096029223,
21,1,-0.020921803995428,
21,2,-0.0210307303475953,
21,3,-0.0137083742169596,
21,4,-0.0246518129686627,
21,5,-0.0220636237408027,
21,6,-0.0276981249039758,
21,7,-0.0322992611406381,
21,8,-0.0361920657962171,
21,9,-0.0343982343412924,
21,10,-0.0304180535430698,
22,0,-0.0197968096029223,
22,1,-0.0132632940655383,
22,2,-0.00922970726586814,
22,3,-0.013767863947875,
22,4,-0.000647739374172285,
22,5,-0.00182019028009017,
22,6,0.00502381224694259,
22,7,0.0105598796601518,
22,8,0.0151787673150612,
22,9,0.0136679984020842,
22,10,0.00976474153700835,
23,0,-0.0197968096029223,
23,1,-0.0112326839900797,
23,2,-0.0167783050797762,
23,3,-0.0152404260733976,
23,4,-0.0132513168887272,
23,5,-0.0172942564418991,
23,6,-0.0148603287681951,
23,7,-0.0122254090611544,
23,8,-0.0135140765777199,
23,9,-0.0115209194515623,
23,10,-0.0226779308371101,
24,0,-0.0197968096029223,
24,1,-0.0229325157344563,
24,2,-0.0135147801534929,
24,3,-0.0122335211347429,
24,4,-0.0121938521025078,
24,5,-0.00666465788813209,
24,6,-0.00807310303320097,
24,7,-0.00997702190407823,
24,8,-0.00815883192827171,
24,9,-0.00979228765700002,
24,10,0.00176768176494946,
25,0,-0.0197968096029223,
25,1,-0.0236274288793937,
25,2,-0.0404795419164312,
25,3,-0.0366219522267012,
25,4,-0.0386877658070408,
25,5,-0.0453242758810233,
25,6,-0.0381653898582581,
25,7,-0.031393181918965,
25,8,-0.0326171215135669,
25,9,-0.0319017173583618,
25,10,-0.0399475510559043,
26,0,-0.0197968096029223,
26,1,-0.0105289491397744,
26,2,0.0108525166919959,
26,3,0.00968928980124395,
26,4,0.0139436292781225,
26,5,0.0225004379088305,
26,6,0.0159610881748709,
26,7,0.00961455562141489,
26,8,0.0114271942711395,
26,9,0.0110539669360241,
26,10,0.0197876841414548,
27,0,-0.0197968096029223,
27,1,-0.0111265365803105,
27,2,-0.022706297348016,
27,3,-0.0140129829185019,
27,4,-0.0103297251375751,
27,5,-0.00538336597097189,
27,6,-0.00853936750057671,
27,7,-0.0138215075271753,
27,8,-0.0127154903195608,
27,9,-0.0129731983760817,
27,10,-0.016093375783273,
28,0,-0.0197968096029223,
28,1,-0.0230373958697427,
28,2,-0.00753103469384842,
28,3,-0.0134631795198068,
28,4,-0.0151099407905669,
28,5,-0.0185602044293839,
28,6,-0.0143970369247867,
28,7,-0.00837470126057893,
28,8,-0.00896110393733518,
28,9,-0.00833532844457907,
28,10,-0.00493640405923879,
29,0,-0.0197968096029223,
29,1,-0.018331924103244,
29,2,-0.0190832086636085,
29,3,-0.014724162909719,
29,4,-0.0163409021182371,
29,5,-0.0107423204640902,
29,6,-0.00691444693333731,
29,7,-0.0106308594743658,
29,8,-0.016115561390293,
29,9,-0.0235817108759746,
29,10,-0.0298629882637276,
30,0,-0.0197968096029223,
30,1,-0.0158665462404092,
30,2,-0.0111967921868235,
30,3,-0.0127510893406785,
30,4,-0.00909124135988848,
30,5,-0.0132436005646904,
30,6,-0.0160097142222133,
30,7,-0.0115726252698709,
30,8,-0.00553630875993139,
30,9,0.00243883174995796,
30,10,0.00918700319536114,
31,0,-0.0197968096029223,
31,1,-0.0099925611444418,
31,2,-0.00201861180647123,
31,3,-0.00423515191289625,
31,4,-0.000620298374465977,
31,5,-0.0057006385004843,
31,6,-0.00215681482175079,
31,7,-0.00177262883510121,
31,8,0.00228765387599772,
31,9,-0.00274341990478399,
31,10,0.00106897242556703,
32,0,-0.0197968096029223,
32,1,-0.0241564294763251,
32,2,-0.0281044502974813,
32,3,-0.0231503966675034,
32,4,-0.0246785941102752,
32,5,-0.0182470352787618,
32,6,-0.0207012968783291,
32,7,-0.020343891124167,
32,8,-0.0237958665960747,
32,9,-0.0185077455640085,
32,10,-0.0219957959631724,
33,0,-0.0197968096029223,
33,1,-0.017966735610354,
33,2,-0.0200646373310034,
33,3,-0.0241373823810404,
33,4,-0.0170361091276858,
33,5,-0.0127562636392373,
33,6,-0.007002969571549,
33,7,-0.00241893199620147,
33,8,-0.00712400482327369,
33,9,-0.0107726188059381,
33,10,-0.0117178000484729,
34,0,-0.0197968096029223,
34,1,-0.0162325157302557,
34,2,-0.010206482160745,
34,3,-0.00322803711890796,
34,4,-0.00839041529585127,
34,5,-0.0112306515400644,
34,6,-0.0159219945076498,
34,7,-0.0197092010119893,
34,8,-0.0145422436169227,
34,9,-0.0105413298737186,
34,10,-0.00934200412488284,
35,0,-0.0197968096029223,
35,1,-0.0215956599050158,
35,2,-0.0143937276236423,
35,3,-0.0167402560601235,
35,4,-0.0264821132186396,
35,5,-0.0277882653193802,
35,6,-0.0283858664431403,
35,7,-0.0211425675173885,
35,8,-0.0242013226294675,
35,9,-0.0207997803618906,
35,10,-0.021595196323451,
36,0,-0.0197968096029223,
36,1,-0.0125836994099826,
36,2,-0.0159014841365993,
36,3,-0.0107268167323551,
36,4,0.0012311317973539,
36,5,0.00405735823921094,
36,6,0.0057352022933197,
36,7,-0.000958147982261348,
36,8,0.0027041163962731,
36,9,-0.000409120199622581,
36,10,0.000659093132064914,
37,0,-0.0197968096029223,
37,1,-0.0174746923549778,
37,2,-0.0143830997796358,
37,3,-0.0191002981307707,
37,4,-0.0201222190226127,
37,5,-0.0218192860290433,
37,6,-0.0191055248180712,
37,7,-0.0148805532494497,
37,8,-0.00727504570857762,
37,9,-0.00390383811646378,
37,10,-0.00971352206480336,
38,0,-0.0197968096029223,
38,1,-0.016725181060835,
38,2,-0.0159120956079644,
38,3,-0.0083466280877611,
38,4,-0.0052673562667882,
38,5,-0.00206952352408896,
38,6,-0.00378015995796521,
38,7,-0.00730866146794951,
38,8,-0.0143923084195547,
38,9,-0.0173643404087105,
38,10,-0.0113470340376598,
39,0,-0.0197968096029223,
39,1,-0.0150018004436684,
39,2,-0.0111472286117819,
39,3,-0.00739943076871297,
39,4,-0.00557198336490694,
39,5,-0.00257933747648276,
39,6,-0.0151058497677125,
39,7,-0.0106490243629086,
39,8,0.00398467674544856,
39,9,0.00419022440927797,
39,10,0.00905936037428057,
40,0,-0.0197968096029223,
40,1,-0.0191937463307452,
40,2,-0.0191323744690789,
40,3,-0.0200363298001714,
40,4,-0.01982204915618,
40,5,-0.0213193062364819,
40,6,-0.00782582886355143,
40,7,-0.0115544773390186,
40,8,-0.0254459323570473,
40,9,-0.0252846669319389,
40,10,-0.0297402689967791,
41,0,-0.0197968096029223,
41,1,-0.0290144852056343,
41,2,-0.0272640338462148,
41,3,-0.0254096064886978,
41,4,-0.0240765011973745,
41,5,-0.0212023410710265,
41,6,-0.0215830707193825,
41,7,-0.0189939134968141,
41,8,-0.0203405677157337,
41,9,-0.0281308064203029,
41,10,-0.0245454128037716,
42,0,-0.0197968096029223,
42,1,-0.00503933451323968,
42,2,-0.00288083959065821,
42,3,-0.00192685733152498,
42,4,-0.00123686251743804,
42,5,-0.00269852806889626,
42,6,-0.00125753355235314,
42,7,-0.00314630493826107,
42,8,-0.00124745566726692,
42,9,0.00713101672001404,
42,10,0.00368553945410888,
43,0,-0.0197968096029223,
43,1,-0.0286390584463967,
43,2,-0.0266488623474607,
43,3,-0.0111325388907761,
43,4,-0.0127952448077836,
43,5,-0.0136003911967857,
