Trial,Timestep,"ESG.Assets.EquityAssets.E_GBP.Sigma.StandardisedVolatility"
1,0,0.109142808879906,
1,1,0.182432729957868,
1,2,0.144568578661598,
1,3,0.0925758311717295,
1,4,0.0902158851572117,
1,5,0.067182323636428,
1,6,0.115525919684059,
1,7,0.0569243331409703,
1,8,0.11042939003731,
1,9,0.204350402668847,
1,10,0.314977647080303,
2,0,0.109142808879906,
2,1,0.123571492015226,
2,2,0.139484773005468,
2,3,0.270152937508075,
2,4,0.32025760695719,
2,5,0.346151298638071,
2,6,0.375510883947458,
2,7,0.372929654036617,
2,8,0.367583016751039,
2,9,0.210643503022123,
2,10,0.15182202623149,
3,0,0.109142808879906,
3,1,0.0824990016745161,
3,2,0.0365146911385286,
3,3,0.0854795256891996,
3,4,0.17168979030529,
3,5,0.256515815475041,
3,6,0.1900800660194,
3,7,0.227246840308722,
3,8,0.24209298452438,
3,9,0.198733431826779,
3,10,0.288762055231643,
4,0,0.109142808879906,
4,1,0.178880405605983,
4,2,0.342216415565105,
4,3,0.328785494820004,
4,4,0.285970966818574,
4,5,0.200330113389489,
4,6,0.28622877322639,
4,7,0.2239057640687,
4,8,0.251948079032337,
4,9,0.217212944605378,
4,10,0.158366728258893,
5,0,0.109142808879906,
5,1,0.133290982605784,
5,2,0.169024664664348,
5,3,0.100927493020434,
5,4,0.197820796530333,
5,5,0.221567745597196,
5,6,0.288999816060371,
5,7,0.222037387681423,
5,8,0.181245436003233,
5,9,0.166409699813259,
5,10,0.298474764913356,
6,0,0.109142808879906,
6,1,0.0877982309940971,
6,2,0.161356544158286,
6,3,0.175576544505142,
6,4,0.243377195632978,
6,5,0.105408933727125,
6,6,0.118089769856609,
6,7,0.177508275235366,
6,8,0.266624603033053,
6,9,0.230592199701923,
6,10,0.145309734389926,
7,0,0.109142808879906,
7,1,0.165106062076379,
7,2,0.172975788013485,
7,3,0.144317502330444,
7,4,0.062612453583976,
7,5,0.111887751217704,
7,6,0.094865380684186,
7,7,0.0694309788466961,
7,8,0.101899520225744,
7,9,0.15724156600136,
7,10,0.245491517811866,
8,0,0.109142808879906,
8,1,0.0908108928326168,
8,2,0.133840430955942,
8,3,0.259625355232218,
8,4,0.326401246217375,
8,5,0.225322694563573,
8,6,0.186729383963133,
8,7,0.350050993825939,
8,8,0.33841270950559,
8,9,0.378709877291227,
8,10,0.302513773707176,
9,0,0.109142808879906,
9,1,0.144709811024852,
9,2,0.233944802881231,
9,3,0.315179334535575,
9,4,0.292753296068048,
9,5,0.288628600205669,
9,6,0.356439510745443,
9,7,0.316954948871723,
9,8,0.18462095798912,
9,9,0.0651322852971898,
9,10,0.0809979610848058,
10,0,0.109142808879906,
10,1,0.0840055940974705,
10,2,0.127218450738397,
10,3,0.0788377120359574,
10,4,0.106700105589193,
10,5,0.133724578040603,
10,6,0.146911506270804,
10,7,0.128575835165855,
10,8,0.277678997846005,
10,9,0.395483049584104,
10,10,0.488787460544769,
11,0,0.109142808879906,
11,1,0.145580077340193,
11,2,0.258465564497381,
11,3,0.304571981586404,
11,4,0.39039783590218,
11,5,0.471046081208781,
11,6,0.494536742210922,
11,7,0.513772600812867,
11,8,0.546411428388821,
11,9,0.59798137041231,
11,10,0.599537763708685,
12,0,0.109142808879906,
12,1,0.0724876201663027,
12,2,0.0707986113648048,
12,3,0.0989662851829074,
12,4,0.0664611040633265,
12,5,0.0606108353507943,
12,6,0.0503709053710279,
12,7,0.0689586663612333,
12,8,0.0930225956500007,
12,9,0.0557885610628327,
12,10,0.120872407652362,
13,0,0.109142808879906,
13,1,0.0558722042266521,
13,2,0.0695882589636242,
13,3,0.104321528882098,
13,4,0.0900027940245224,
13,5,0.0839914608485963,
13,6,0.138069302994762,
13,7,0.0766779591530703,
13,8,0.0657246703751679,
13,9,0.0545345228607199,
13,10,0.108547376617316,
14,0,0.109142808879906,
14,1,0.197261205894899,
14,2,0.279196528587144,
14,3,0.315711631334963,
14,4,0.348984173234068,
14,5,0.331408797405063,
14,6,0.400344847356773,
14,7,0.388656322757612,
14,8,0.458989308748784,
14,9,0.568694536380769,
14,10,0.567497946782796,
15,0,0.109142808879906,
15,1,0.0888999620117308,
15,2,0.148575465040328,
15,3,0.15475438431133,
15,4,0.250585684833627,
15,5,0.330485301075083,
15,6,0.271845439179959,
15,7,0.296834219980403,
15,8,0.302671014521816,
15,9,0.30494484286043,
15,10,0.278197951582109,
16,0,0.109142808879906,
